body,type,exact_answer,predicted_answers,predicted_answer_pos
Which kinase does PD98059 inhibit?,factoid,[['MEK']],"[['Phosphoinositide 3-kinase'], ['tyrosine kinase'], ['AURKA'], ['protein kinase A'], ['Aurora kinase A']]",?
What is caused by loss-of-function variants in BCAS3?,factoid,[['A syndromic neurodevelopmental disorder']],"[['Alport syndrome'], ['frontotemporal lobar degeneration'], ['neurodevelopmental disorder'], ['MNDs']]",?
What is the main use of ETD fragmentation?,factoid,[['Analysis of intact proteins']],"[['Electron transfer dissociation'], ['O-glycosylation'], ['electron capture dissociation'], ['gene cloning'], ['Electron-transfer/Higher Energy Collision Dissociation']]",?
What is Congo red agar plates used for?,factoid,[['Assessment of bacterial biofilm-formation ability.']],"[['Biofilm formation'], ['biofilm'], ['slime production'], ['slime, an extracellular polysaccharide, which mediates adherence to implants and bacterial colonization. The slime-producing ability was determined by PCR detection of icaA and icaD genes responsible for slime synthesis, and by culture on Congo red agar plates in which slime-producing strains form black colonies'], ['fever']]",?
What is the protein that is truncated to produce progerin?,factoid,"[['lamin-A', 'prelamin', 'lamin a', 'progerin', 'lamin A (LMNA)']]","[['prelamin A'], ['lamin'], ['lamin A'], ['farnesyl-prelamin A']]",?
What treatment was studied in the KEYNOTE-522 trial?,factoid,[['pembrolizumab']],"[['adjuvant pembrolizumab'], ['atezolizumab-bevacizumab'], ['pembrolizumab'], ['Pembrolizumab plus chemotherapy'], ['Immune checkpoint inhibitors']]",?
Which disease is associated with DNAJB1-PRKACA fusion gene?,factoid,[['Fibrolamellar carcinoma']],"[['Fibrolamellar carcinoma'], ['FLC'], ['fibrolamellar carcinoma'], ['cancer']]",?
When was dupilumab approved by EMA?,factoid,[['2017']],"[['EPOC1201'], ['NCT01920893'], ['NCT01916863'], ['Phase II trial (EPOC1201'], ['2009']]",?
Aducanumab can be used for treatment of which disease?,factoid,"[[""Alzheimer's disease""]]","[[""Alzheimer's disease""], [""Morton's neuroma""]]",?
Covid-19 is though to have arisen from what species?,factoid,[['bats']],"[['coronavirus'], ['SARS-CoV-2'], ['bats'], ['coronavirus disease 2019'], ['coronaviruses']]",?
Where are Goblet cells localized?,factoid,[['Epithelium']],"[['epithelial'], ['jaws'], ['jaw bone'], ['paranasal sinuses']]",?
What is the brand name for erenumab?,factoid,[['Aimovig']],"[['Qtern'], ['Aimovig'], ['APOBECs'], ['Interleukin 6 (IL-6'], ['mitochondrial single-stranded DNA binding protein (mtSSB']]",?
Which protein does capmatinib bind?,factoid,"[['MET', 'mesenchymal-epithelial transition']]","[['RNPC1'], ['tyrosine kinase'], ['PUM1'], ['TAP/NXF1']]",?
What is carboxyglutamate?,factoid,[['carboxyglutamateis a  a post-translational glutamic acidof']],"[['Colorectal cancer'], ['G-quadruplexes'], ['peptide-bound glutamate'], ['VASA'], ['RNA exosome']]",?
Which company produces the HercepTest?,factoid,[['DAKO']],"[['Biogen'], ['metformin'], ['FDA'], ['trifluridine']]",?
In what year did Gregor Mendel die?,factoid,[['1884']],"[['1884'], ['1864'], ['2010'], ['1865'], [""Fanconi's anemia, an inherited disorder characterized by bone marrow aplasia, peripheral pancytopenia, and multiple congenital defects, has a association with certain types of malignancies. These include acute myelomonocytic leukemia""]]",?
