System,Mean precision,Recall,F-Measure,MAP,GMAP,Batch
MindLab QA System,0.1167,0.2429,0.1223,0.1695,0.0012,4
RYGH-4,0.2833,0.5561,0.2835,0.553,0.0725,5
RYGH,0.2898,0.5549,0.2892,0.5336,0.0692,5
RYGH-3,0.2752,0.5468,0.2775,0.5276,0.0689,5
RYGH-1,0.274,0.5457,0.2762,0.527,0.0686,5
RYGH-5,0.2744,0.5296,0.2721,0.5203,0.0597,5
bioinfo-4,0.2411,0.5291,0.2544,0.474,0.0593,5
bioinfo-0,0.2456,0.5338,0.2586,0.4727,0.0634,5
bioinfo-1,0.2422,0.528,0.2555,0.4712,0.0589,5
gsl_zs_rrf1,0.24,0.4834,0.2445,0.4694,0.0439,5
bioinfo-2,0.2422,0.532,0.2564,0.4679,0.0592,5
bioinfo-3,0.2422,0.5236,0.2542,0.4634,0.049,5
gsl_zs_rrf2,0.2467,0.496,0.252,0.4598,0.0424,5
gsl_zs_hybrid,0.2356,0.4847,0.2433,0.4569,0.0388,5
gsl_zs_nn,0.2433,0.4867,0.2472,0.4539,0.0377,5
gsl_zs_rrf3,0.2422,0.4909,0.2486,0.4531,0.0375,5
LaRSA,0.2633,0.5079,0.2585,0.4209,0.0456,5
bio-answerfinder,0.4539,0.4399,0.3893,0.4174,0.0246,5
ELECTROLBERT-3,0.1878,0.4477,0.2058,0.3918,0.0168,5
ELECTROLBERT-1,0.1878,0.4378,0.205,0.3918,0.0152,5
bio-answerfinder-2,0.3081,0.4098,0.2816,0.3896,0.0196,5
bio-answerfinder-4,0.2968,0.3959,0.2706,0.3738,0.0152,5
ELECTROLBERT-2,0.1911,0.4381,0.2079,0.3722,0.0192,5
AUEB-System2,0.2089,0.431,0.2128,0.3656,0.0265,5
bio-answerfinder-3,0.3467,0.344,0.2906,0.3296,0.0086,5
AUEB-System1,0.1722,0.3755,0.176,0.3214,0.0116,5
Proposed,0.348889,0.554906,0.340961,0.305068,0.045141,5
Proposed,0.559459,0.403316,0.430348,0.493601,0.077184,6
gsl_zs_nn,0.4108,0.3269,0.3197,0.353,0.178,6
gsl_zs_rrf3,0.4108,0.3344,0.3239,0.3522,0.2236,6
RYGH-4,0.4081,0.3253,0.3194,0.3463,0.1541,6
gsl_zs_hybrid,0.3784,0.3046,0.2981,0.3274,0.1601,6
gsl_zs_rrf1,0.3811,0.3089,0.3011,0.3227,0.1692,6
gsl_zs_rrf2,0.3784,0.3079,0.2994,0.3192,0.1635,6
RYGH-5,0.3676,0.2805,0.2794,0.3172,0.0912,6
bio-answerfinder-2,0.3598,0.2618,0.2727,0.2964,0.0889,6
RYGH,0.3958,0.3278,0.3193,0.2963,0.1449,6
bio-answerfinder-4,0.3598,0.2618,0.2727,0.2951,0.0883,6
RYGH-1,0.3787,0.3095,0.3015,0.2891,0.1794,6
RYGH-3,0.3676,0.3013,0.2919,0.2866,0.1775,6
LaRSA,0.3622,0.2775,0.2755,0.2662,0.0843,6
bio-answerfinder,0.3597,0.2124,0.2492,0.2289,0.055,6
bio-answerfinder-3,0.3574,0.2124,0.25,0.2273,0.0545,6
ELECTROLBERT-2,0.2351,0.2138,0.1918,0.1939,0.0329,6
bioinfo-3,0.273,0.2392,0.221,0.1857,0.0782,6
bioinfo-4,0.2784,0.2374,0.2229,0.1825,0.0874,6
ELECTROLBERT-1,0.2324,0.2173,0.1916,0.1795,0.0344,6
bioinfo-1,0.2784,0.242,0.2243,0.1782,0.0616,6
bioinfo-2,0.2784,0.242,0.2243,0.1782,0.0616,6
bioinfo-0,0.2703,0.2301,0.2156,0.1735,0.0609,6
The basic end-to-end,0.2572,0.1573,0.182,0.143,0.0088,6
Basic e2e mid speed,0.2611,0.1592,0.1835,0.1404,0.0107,6
BioNIR HeadOne,0.2588,0.1564,0.1805,0.1381,0.0105,6
BioNIR BM25 HeadOne,0.2233,0.1133,0.1404,0.1109,0.0034,6
